,A,AA,AAL,AAN,ADP,AAT,AGM,AHH,ACCO,AIV,ACRE,AGNC,AGYS,ACRV,ABBV,AAPL,AGCO,ADCT,ACHV,ACGL,AGS,ADVM,AEO,AFCG,ACCD,ACAD,AKAM,ACI,AAOI,AEVA,AJG,ADBE,AIG,AEP,AFRM,AFG,ABSI,AI,AESI,AIOT,ADPT,ABM,AKBA,ACDC,AGR,ADMA,AGX,ACEL,AIR,ACIW,AEHR,ADEA,AGL,ABR,ACT,ACLX,AIZ,ACHC,ACM,ABCB,ADUS,ACHR,AES,AHCO,AEYE,ACTG,AIN,ADM,ABUS,AAON,AEIS,ADI,ADSK,AKR,AGO,ADNT,ADTN,ACLS,ABOS,ACVA,AIP,ADC,ABG,ABNB,ACIC,ACMR,AIT,AIRS,ADV,AEE,AHR,AAP,ACNB,AFL,AISP,ADT,ACN,ABT,ACA,AILE
A,1.0,0.7175950400199343,0.6152197717905273,0.6720976234731826,0.6934309858952671,0.6734309305480531,0.591503616082213,0.6444512550067281,0.720034762349348,0.6269200891301329,0.5812292184990503,0.5956662748978377,0.7466481627280843,0.679028727685853,0.7074235485520708,0.7257443130355303,0.6973458338465865,0.6625521754285297,0.589020788799965,0.6215485613833405,0.676821219670675,0.6297659951528684,0.596382603828223,0.6249910995433281,0.7092440323186519,0.6174474746372292,0.7234197042746371,0.6538046358872138,0.7182774132214285,0.649429335556779,0.6633579707174968,0.711972545511567,0.69379420245651,0.6031950654499725,0.6473864512288153,0.6208427523107498,0.6604324518586849,0.6500902751014538,0.6131345408050553,0.6147703799990928,0.6718350387073057,0.674764833581403,0.6299346227674207,0.6490207317515545,0.7005352862620812,0.6271251438898463,0.6895971145882367,0.6482480752495603,0.6602849442087423,0.657689130315702,0.746506760869839,0.7353513848416358,0.7440414966722045,0.6391738863161142,0.5979973654288654,0.6001068642559746,0.649420919313353,0.6296392636178753,0.6699850204562178,0.6107948996586193,0.6079426203794989,0.6062274437156046,0.6792656499222796,0.6844987567226039,0.7100964244833903,0.6475057941041746,0.6910668544140657,0.7128075420983327,0.6069975188951557,0.6280565806954075,0.6116637870683997,0.7743568045870713,0.701087052788211,0.636942362462077,0.5626674730926812,0.6570628720998842,0.7364764777018299,0.7371140445160799,0.6184715205216266,0.6947951799963422,0.7204036315036331,0.6053545961125553,0.6935089836234616,0.652457154901736,0.6171494058949936,0.7355548215483048,0.6933372088115426,0.5937834831862363,0.7572935770797345,0.6349861836211669,0.6424704052011739,0.679959524930384,0.5870845710721752,0.6472195336621178,0.6657648199014424,0.7094510026461104,0.6539760639278316,0.7722724744167279,0.6954877354362149,0.6159442767802604
AA,0.7175950400199343,1.0,0.6468606111559401,0.702587470955444,0.6562612103988961,0.6710641257509792,0.5832591018761925,0.6703397118981856,0.7217713434984447,0.6185363290833298,0.5979153637902327,0.5613736320669829,0.6485142171506652,0.5838602250245897,0.6128454342646366,0.6933374291052711,0.6709300209604457,0.5718166876545325,0.5385561444616432,0.6460628091377832,0.6312518185096185,0.5462548010761318,0.6154897272231408,0.65467071716088,0.6582265347304102,0.5534106604596604,0.6851127904308135,0.658812864311665,0.6981055785172382,0.6366119974796439,0.6476642311625266,0.6515037818347855,0.7005353050368102,0.6728761925021205,0.6245577723530784,0.6263237047466249,0.5769670900180551,0.6367956288806079,0.6802370895758831,0.6197900344046239,0.5415516753863517,0.6772794269068203,0.5586620816323619,0.7013130836461873,0.6984478158158889,0.5905927020455796,0.7105116075919937,0.6079782772967489,0.7074509033616505,0.6325723486140972,0.6919146568029064,0.7077451860037232,0.6966634825464723,0.6275749372842004,0.6149689071098834,0.5307592119727716,0.6556302957683344,0.6189636233574607,0.686465670463438,0.6237166755158,0.5879186578479062,0.6317578763671675,0.7489004103073958,0.6573242261579092,0.6794559662868891,0.6596530641967238,0.7630301316961705,0.7072933720905865,0.575097714926519,0.6787675287957243,0.5974286351356854,0.7043966230037311,0.6849835863768629,0.6431630468402271,0.5690986196738194,0.6891163918178353,0.7224534534217595,0.6498854264858078,0.5803896434883775,0.6878017823602135,0.6911229376318437,0.606773913184257,0.7114521174379278,0.6305941323583683,0.6409575040598525,0.6730359511824475,0.7029356158458099,0.6147947039740846,0.7246587372957973,0.6820226091754358,0.625451608564268,0.6925175574948871,0.6000980195327018,0.6289471530617663,0.6673345358277164,0.6690613879607713,0.6140863067843848,0.6600728871510664,0.7598881765105946,0.6024540375941833
AAL,0.6152197717905273,0.6468606111559401,0.9999999999999999,0.6146704889287813,0.5885120549854642,0.6279656765586418,0.5414107639276783,0.5772956346123295,0.6266406186974265,0.625143465656141,0.587015981967281,0.5907235552463882,0.5999219059267337,0.509872330489762,0.5602658807728806,0.6190761484818886,0.5771036918454256,0.5151269363258211,0.4759316174544075,0.5828080849328275,0.5778236639479564,0.5200725643799831,0.7159822343865524,0.577616916231556,0.5959475881822741,0.5363820055299587,0.6069144546904209,0.5898418522700526,0.595557161013088,0.6091586194926008,0.6326261282132358,0.5769851535769142,0.6682710104627162,0.6325271921309417,0.5927563512216778,0.6511100040317787,0.5421221458699851,0.5719700352296271,0.5576616854227004,0.5455300760886251,0.5009762926136159,0.6419284809189967,0.5033894732447164,0.535766221111175,0.6391411469519003,0.5467531907840608,0.5745945946657268,0.5713831585139388,0.7170040178274636,0.6170582369169523,0.5733972808617106,0.5898185854949419,0.604657405552908,0.5641984775608957,0.5135184553352387,0.4832073887374785,0.590683685090491,0.5407725729367113,0.6213729964576025,0.6121014339082046,0.5279196367580755,0.6428352286913417,0.6106312665910482,0.5391463239185774,0.6155669548748756,0.5802071303221334,0.6195476922822027,0.6140936551075704,0.46878100044624516,0.6133867780850176,0.5691569096843444,0.5929829559367579,0.6055543691982905,0.5591423526534942,0.56215991883314,0.6390947192800313,0.5838667759848598,0.5387389442795373,0.564938934688241,0.6156434103818745,0.5970182267614971,0.5848382071554526,0.5972995805928037,0.6207221218456277,0.6024652719085833,0.5526875589861052,0.5802233026754595,0.5374812455054698,0.6154536587191144,0.6239264240220431,0.5816489058176942,0.6353841486562327,0.5503523538171776,0.5923146174133268,0.6190717033415736,0.5999636520504565,0.5754812318518042,0.5650608152736359,0.6282491382674377,0.5345220498819032
AAN,0.6720976234731826,0.702587470955444,0.6146704889287813,1.0,0.6677186847052208,0.7568341310838174,0.5947177585736183,0.7103384452757079,0.7202666892376586,0.6750612622574164,0.6595055384286405,0.6096794401520295,0.7005177186109237,0.6079125791822116,0.6088200724079574,0.6842750339011098,0.6452023626759766,0.5801363291397054,0.570402735587179,0.6225547774330864,0.6817594066928401,0.5454711856275007,0.7045981443682172,0.6723495622397184,0.68320001077781,0.5755941907611473,0.6827069696510765,0.7099153447099721,0.6986979663417829,0.6396941606676498,0.6404000628731567,0.6690533282993716,0.6863267938302925,0.6364242567110792,0.7160813325783778,0.6240473107741916,0.5867454619027935,0.6403268009050191,0.6582341275854495,0.6573498987640076,0.5841899294983243,0.6756973788313689,0.5957918711533104,0.6939284992756992,0.6776865061283248,0.598062193546497,0.6823461962971052,0.6919306223654459,0.7045745017601299,0.6399414834654555,0.677653625788149,0.7083473967626641,0.7066543708362873,0.6995231642208795,0.6112606747874101,0.5423533192719974,0.6843342207606707,0.6598445634135882,0.624737345849444,0.6609165730138258,0.6322093454867433,0.6138889626948363,0.7050826735705906,0.7088273233899046,0.722463252964298,0.6693537179529145,0.6762362694032062,0.6539451490732792,0.569305530600991,0.7035652702249308,0.560882848203223,0.6748932900040933,0.6824789087597583,0.7314704664557612,0.5413796469386183,0.6501836618349827,0.7198426706798194,0.6148573348651346,0.5867024008917707,0.7392828032394807,0.6666578063979326,0.7209502580442461,0.7508692725777257,0.6798671150228984,0.650352005844714,0.671196179522296,0.6659262438365013,0.6340481298577263,0.757471675567902,0.6518608223978554,0.7019713617590503,0.7254415499349786,0.5909260430311284,0.617168948022486,0.6749055577827123,0.737533974472708,0.5988674611320934,0.6386391702553905,0.7222354150311021,0.6453374093061681
ADP,0.6934309858952671,0.6562612103988961,0.5885120549854642,0.6677186847052208,0.9999999999999998,0.6418938638300187,0.5460576006152084,0.6094015500052162,0.6523231824948816,0.5810118386302539,0.5731760132324901,0.5555311453741052,0.6752749913702563,0.5754703118698427,0.6481215910873883,0.6672539444548424,0.6183553912703439,0.6091435836685343,0.5007524808007466,0.6184739954182222,0.6173174111319548,0.5780531279451296,0.59677753354641,0.5916796602946657,0.6976192956992783,0.5624403239780786,0.7147060596704199,0.6134666981827321,0.6214626883413844,0.5958390765177852,0.6551894807104872,0.7353509688163384,0.7000361246068113,0.5919754828298126,0.6490627303704353,0.5975570932971699,0.6185852307931029,0.6706444013350307,0.5828490981792188,0.6044255795537589,0.6307591743487319,0.7210667581978039,0.5497135748167359,0.605671802211169,0.6395185343622258,0.6526023622378536,0.6038271149540005,0.6095316329181986,0.6174438851148843,0.6835509254616952,0.6533785859484011,0.6977563639371147,0.6853587837997586,0.6167283381519096,0.5976759192569873,0.5153136594487622,0.6485331416980511,0.6212645339714552,0.6432573619787848,0.597194209191929,0.6818780642328456,0.5686216565235593,0.63275081100722,0.7018685236862157,0.7076724534295001,0.6013006542862493,0.6321155373159815,0.7369060485050024,0.4955184481319723,0.6147753547943667,0.5823957934643421,0.7257317372919987,0.7117753089648201,0.6089950427192022,0.5118401447049009,0.6812911345770256,0.7391231601185928,0.6092924357940506,0.584530351876853,0.6705430633619703,0.6523632148346574,0.5809783640545592,0.6501926303479022,0.6567275078049185,0.6101102467004822,0.6446354638389032,0.6671822805769121,0.5697267104565831,0.7441799164049233,0.5985824080769113,0.6123849732728577,0.6866354433588053,0.5758794719445608,0.6051611847320879,0.6691804526996267,0.7628392409549124,0.7036593624542324,0.6632423633514547,0.6405852252491966,0.549654215408748
AAT,0.6734309305480531,0.6710641257509792,0.6279656765586418,0.7568341310838174,0.6418938638300187,1.0,0.6076823796014628,0.7935904657106317,0.6621068730297838,0.7701999250483057,0.7559873653122968,0.7034125368764558,0.6613998777147762,0.6588935012161438,0.6340279438432421,0.6482281476753913,0.6000582483168085,0.6190005232722277,0.5888623118327739,0.6808623445659506,0.6431927493593101,0.6108957396798366,0.6544461429292442,0.7418934881492694,0.6737158516240221,0.6116893136632101,0.6783315099396541,0.6400298918493069,0.6888351432630551,0.652753403042227,0.6520532004257674,0.6681863207890839,0.7209255971366278,0.6280385364995165,0.6699592185391425,0.6624750682874846,0.60874935159759,0.6094862100765682,0.6824096317087766,0.595129230327495,0.6000930249103691,0.6817381710489893,0.6302348717752865,0.6686003052352334,0.6838053028673535,0.6257084408182857,0.6954182497334439,0.6456129520532919,0.646062401793575,0.6255438675330437,0.6707679729436674,0.7162858701232568,0.7206107609820915,0.7718957140959956,0.6551784917221721,0.5537871959958538,0.6991425017331642,0.6561046252370185,0.677917912247843,0.6647614616607798,0.6129662113663419,0.6104372532505801,0.6751809979321385,0.6828347160380219,0.7018553437379114,0.7085486685279639,0.6433296052555036,0.6338434398988819,0.6016868223333767,0.6662422544703076,0.5540219146115538,0.6686165250381017,0.675187071397304,0.8244738818389891,0.5930581836522557,0.6107855805846512,0.7055077257206032,0.5977738948684291,0.6326134480873296,0.686332047293043,0.6772845139160125,0.763896767616596,0.6910580883396249,0.6711868049179499,0.7117415054358018,0.6671191347772499,0.6365793914792551,0.6188862246407991,0.6897614485719801,0.6533443644908773,0.8131638931526445,0.6509789676844812,0.6173936163143882,0.6474757668709288,0.6654951432818222,0.7407339332580962,0.5727507354647855,0.6475550683228453,0.7045099560999818,0.6399347750773859
AGM,0.591503616082213,0.5832591018761925,0.5414107639276783,0.5947177585736183,0.5460576006152084,0.6076823796014628,1.0,0.5924590713814201,0.5706375489977257,0.5476368645290024,0.6471047971438939,0.6641439539721598,0.5528035791471221,0.5312813867878257,0.5206516980479393,0.6056158242538215,0.6953438357793226,0.48640875512404147,0.47932627840843745,0.5929510253645627,0.5677934492853749,0.5070313230151972,0.5094262775028853,0.6471132691333523,0.5774372312567075,0.49877423467661863,0.5772148046427145,0.5895367209170905,0.5376699453993166,0.5200475111157097,0.6005962086048061,0.5249034475125939,0.5967371880905309,0.5317340134725437,0.6175919506663522,0.6557414681678505,0.5151576098121622,0.5508888172983258,0.5470256750447903,0.5395305571354775,0.47791729488046586,0.5834234362167585,0.5114368433798873,0.6319603898914034,0.6014365845060938,0.5275868804417108,0.6131910945835469,0.5695801539966029,0.5782993329619364,0.5848778696934095,0.5655381726412041,0.5488345595658075,0.6275524827468438,0.6682978259654986,0.6432019243185294,0.4698080881263835,0.5838224255009733,0.5670529689584077,0.5896112223439031,0.6427906598669845,0.5361743535812602,0.5404323799380341,0.5624122774134314,0.551378307292483,0.5785588048563338,0.5738725025766913,0.5715742270167281,0.6386967357962694,0.48825829993845926,0.5164148782106505,0.45202538351040533,0.5463924718351748,0.5672520340635742,0.5851375617569682,0.5691496110216977,0.5206074753478418,0.6124433517942783,0.5238935203533346,0.502599195369108,0.618715087614332,0.5832567767184564,0.6011230131680819,0.5962623085146856,0.547734219212367,0.6017427198926361,0.577540120869164,0.5281443421734846,0.49857900087783635,0.6376814893645798,0.6110568281278568,0.5873660945622275,0.5478674618801758,0.6243927487154002,0.5579046603452429,0.5503068457239196,0.577053888581971,0.5102171988595928,0.5341505037397166,0.5987910275339202,0.5212632767353034
AHH,0.6444512550067281,0.6703397118981856,0.5772956346123295,0.7103384452757079,0.6094015500052162,0.7935904657106317,0.5924590713814201,1.0,0.6518996993962095,0.7325395213848517,0.7094963801291833,0.6887400580259591,0.6547895760753586,0.6186114671288039,0.5976025487147388,0.627355207662508,0.5909296786070862,0.5767443999069887,0.5499890551481442,0.6562831977665843,0.6315712542329783,0.5885324167844378,0.6251917571874851,0.7320743999769582,0.6405273028777891,0.58136317220101,0.6446400203268576,0.6252826257886663,0.665267828610851,0.6061521346725499,0.6354352038614999,0.5908202311028732,0.6484316256509636,0.5893312327133292,0.6221346227645271,0.630381206253935,0.5744357430465851,0.5789687091437448,0.6294580581732399,0.6049168281195475,0.5748835857309015,0.6524297431888475,0.5723430187774902,0.6610198637348387,0.6571750346092488,0.5969635847032063,0.7162658004675378,0.6452912120142806,0.6488935307075273,0.5930349512759795,0.6301163315708651,0.6752664605919507,0.6648576476834582,0.7481972444234335,0.6500203917036484,0.5337076703906917,0.6570050871418757,0.6493282964116504,0.6501617966604705,0.6369296828803082,0.5941286844862994,0.6222588633185582,0.6406150127882995,0.6453687347663034,0.6590423150488137,0.6385406418058875,0.6368573886396041,0.6235008067466106,0.5731253664094877,0.6345379533907173,0.5174288286297806,0.6347733614283326,0.643441955944319,0.7895014155445289,0.5691884130988792,0.5830690687777544,0.6828988229592605,0.5849042639515635,0.5958100848980465,0.6796812117942341,0.663892743314812,0.7912201082767101,0.6862199082576625,0.6158204331011023,0.6557402804161233,0.6463317413814461,0.6284056624017305,0.5889274659019501,0.6756459673573784,0.6163966398674697,0.7640842104508664,0.6589432863394489,0.623130134181724,0.5907180092059156,0.6581001940977903,0.6633374827794952,0.5546483237433705,0.5923436928320277,0.7137203114824906,0.6449382501180392
ACCO,0.720034762349348,0.7217713434984447,0.6266406186974265,0.7202666892376586,0.6523231824948816,0.6621068730297838,0.5706375489977257,0.6518996993962095,1.0,0.6212074706237799,0.6484153881254252,0.5948382380805057,0.6776603682914132,0.6338698967394282,0.6698460475529813,0.7026940632656496,0.6953952277276351,0.6151890006097291,0.5856266302952113,0.6445973745580924,0.6465617448474271,0.5626382897756071,0.6562246646820346,0.6350105741905734,0.7124813950921685,0.6313311939988452,0.672706034697159,0.6654802581022061,0.6704300440849422,0.5933924938710823,0.677525642148929,0.6647767816533209,0.6782476941929646,0.6129466419776035,0.6361277678965636,0.6425196678079451,0.6171554749091855,0.6033930244208824,0.6152547370023121,0.6263741751528038,0.5936813279668229,0.7111861954745875,0.5787944668493151,0.6416938055287489,0.6645120095399362,0.6212530677840136,0.6459996456237722,0.6952215686395158,0.6808273504956507,0.6853238004657868,0.6757980991751927,0.6870212515861857,0.6695523023975449,0.6257892720571036,0.5927341717883386,0.5417103897638595,0.6848471616885514,0.649333872574462,0.6771103543666016,0.6348190952202558,0.6115588114334409,0.6088527888410389,0.673568656193451,0.6502926096720225,0.6904776144572988,0.7248153340885307,0.7607335715061837,0.6683579928880362,0.5760496162588847,0.6483362129501897,0.5791176530527797,0.6891725956031904,0.6933831162343314,0.660724993361816,0.5709493882129519,0.6665842757619986,0.7062164142676508,0.6519863970309755,0.6203367417611746,0.6753054079480593,0.6684072070414979,0.6427991095707428,0.6929720199332143,0.6304782378227544,0.6882699571908509,0.6810739868962937,0.6842843489687586,0.598805816349015,0.7362193976699539,0.6224081986453254,0.6242351706287591,0.6994703050212148,0.6466474243889246,0.6523068783500965,0.5996258138653962,0.6621287850217721,0.6637544975617896,0.7060032858275944,0.7079122699956664,0.5972369384351006
AIV,0.6269200891301329,0.6185363290833298,0.625143465656141,0.6750612622574164,0.5810118386302539,0.7701999250483057,0.5476368645290024,0.7325395213848517,0.6212074706237799,1.0,0.7175842267379596,0.6747287874670118,0.611579724579989,0.6211184094346334,0.6005672553459964,0.5769327068901526,0.557160447769732,0.5569222647334964,0.568839558455397,0.6244558967075445,0.5636238267731489,0.5676954919448743,0.621516942435265,0.6806964015340319,0.6301157135195429,0.5601813087242821,0.6303526289873544,0.583923133104288,0.6097794845126925,0.602628159110508,0.5845352716217036,0.6200590321514838,0.653440956515668,0.5980561714606705,0.6151509550309524,0.6132303046869019,0.5851961153394961,0.5792765653180548,0.6057368425713298,0.5542057347196625,0.5495657206844482,0.6513425150081771,0.5850777445049861,0.6061839209187605,0.659112198431083,0.5951918006336979,0.6114428286941698,0.6212503105590397,0.6329462637186468,0.6021025608199442,0.5862703299925859,0.6315106438108641,0.6429493603280804,0.7145695966013417,0.6151174439293282,0.5167477765048245,0.6458069627704602,0.6152653336628835,0.6346714842709837,0.6023515055766913,0.560256551695348,0.5893873281867541,0.6385108107710097,0.6085726065977276,0.6356275411010375,0.625046111008458,0.6042195132075403,0.5837937923798747,0.5267143829272086,0.6190361029535963,0.5389624450307299,0.5910816773640815,0.6073413045975244,0.7400735579142088,0.5504175540031098,0.5890437614428069,0.589641136557529,0.5608635200988211,0.5827247447923479,0.6438050209366791,0.6135823782722347,0.7210626387432435,0.6232186164261732,0.6441067683138556,0.6602785247521457,0.6135338245173007,0.6086647178281808,0.5683549739429041,0.6085741346673093,0.6252167959305942,0.7694546207028916,0.6131111101256865,0.5752772433777228,0.5881010650674124,0.6329617946227767,0.6349271802544298,0.5369654854665216,0.5758592209393343,0.6234244517326819,0.604442904501259
