,A,AA,AAL,AAN,ADP,AAT,AGM,AHH,ACCO,AIV,ACRE,AGNC,AGYS,ACRV,ABBV,AAPL,AGCO,ADCT,ACHV,ACGL,AGS,ADVM,AEO,AFCG,ACCD,ACAD,AKAM,ACI,AAOI,AEVA,AJG,ADBE,AIG,AEP,AFRM,AFG,ABSI,AI,AESI,AIOT,ADPT,ABM,AKBA,ACDC,AGR,ADMA,AGX,ACEL,AIR,ACIW,AEHR,ADEA,AGL,ABR,ACT,ACLX,AIZ,ACHC,ACM,ABCB,ADUS,ACHR,AES,AHCO,AEYE,ACTG,AIN,ADM,ABUS,AAON,AEIS,ADI,ADSK,AKR,AGO,ADNT,ADTN,ACLS,ABOS,ACVA,AIP,ADC,ABG,ABNB,ACIC,ACMR,AIT,AIRS,ADV,AEE,AHR,AAP,ACNB,AFL,AISP,ADT,ACN,ABT,ACA,AILE
A,1.0,0.6917653674389255,0.3836127512628842,0.5734570724464917,0.6326459469497998,0.577351565179927,0.29197784614430367,0.48685859785999125,0.6972799455165521,0.42631211007848707,0.2504207267896912,0.3085158031963136,0.7522857294357874,0.593417608430431,0.6678861292324444,0.7098685783175901,0.6427881832877699,0.5448140410266382,0.2820292024191214,0.40692880622942545,0.5871368235578381,0.436426724885909,0.31134334447261086,0.4193949514955164,0.6722662585985814,0.3918778820859909,0.7047964681740342,0.5173967652051099,0.6933159807910533,0.5032676845132543,0.5472835567622788,0.6787439916310303,0.6335962500016813,0.337953536637436,0.49657653625107884,0.40435387642476733,0.5382724552258743,0.5054196954246744,0.3758200945820401,0.38193790329688143,0.5726870060043937,0.581221686925161,0.43702263189946977,0.501934143456058,0.650888100150383,0.4270445125406399,0.622498582595719,0.4994059276816119,0.5378147986690611,0.5297091806993355,0.7520175852725384,0.7300667627669138,0.7473024775035729,0.4690798116176612,0.3176969985998955,0.3259544557640102,0.5032402409428546,0.4359786207250825,0.5672328898408454,0.3670130176248749,0.356186662599115,0.34962980367049895,0.5940874511724253,0.6086732079304223,0.6743011171086601,0.4969690655012206,0.6264138494843577,0.6807055470685079,0.35257797037253646,0.4303643076326676,0.3702915544478067,0.8002100877791152,0.6522745743865297,0.461444837171825,0.17304857739621046,0.5277389691803841,0.7323529128092358,0.7336411458627077,0.39565624471331573,0.6362052896338115,0.698106620303044,0.3462797921937681,0.6328501775306896,0.5130747455306145,0.3907756190299992,0.7304813561923746,0.6324002828865846,0.3010579772606581,0.7717682000748122,0.4546951853363007,0.4802313115863914,0.5960444881938067,0.2742283708691594,0.4960271887812915,0.5546032658374345,0.6727612826698742,0.5179447374265573,0.7969126136720573,0.6380019590171909,0.3863076157610288
AA,0.6917653674389255,1.0,0.4948445823126009,0.6560228220907979,0.5252086270406294,0.5704203494175595,0.2587101838475444,0.568282462043324,0.7011556147757145,0.39589491689526224,0.3173750249619655,0.16756261710193268,0.5002777370918939,0.2611577642228331,0.3747354417011367,0.6324008601303549,0.5700251607271782,0.2115178290451275,0.06940839923933545,0.4922093474816377,0.4416642064863853,0.10277391580581446,0.38461764301021,0.520160857494507,0.5313953137507555,0.13358254575965112,0.6103583865127975,0.5332301608347481,0.6447308748950829,0.46030864685858186,0.49748986490543623,0.5100010047228414,0.6508881474014369,0.5757343856361636,0.41783432193430164,0.42417880229385824,0.23289668404470468,0.46094037795529036,0.5968253683480004,0.40050142306818176,0.0824134848567541,0.5884463899955262,0.15603214268595245,0.6528412862507207,0.6456032768553481,0.2883350299861354,0.67528856455605,0.35632260492570295,0.6679522911393997,0.4462939186228892,0.6286580623907184,0.6686633924146572,0.6410363116964953,0.4286490961593877,0.382678108501502,0.03545827227337302,0.5232106707178131,0.39746718516545465,0.6140518560805883,0.4147980638867475,0.27759332054023167,0.4434412208784169,0.7565232552435103,0.5285618830662967,0.5946249305950937,0.5358507416288423,0.7817035842666156,0.6675711323206459,0.22516187974763563,0.5926781752736552,0.3154624147596162,0.6604996727815748,0.6100042513074728,0.4825549694170448,0.2001517993379265,0.6212111621450063,0.7026667096344887,0.5047533809066389,0.24698130253662923,0.6176733417857623,0.6265626291856287,0.3517226326425142,0.6775164911678084,0.43934956429563926,0.4751323762444268,0.5762005793352032,0.6568879459284792,0.3820286212251274,0.7075090031743005,0.6018216371355081,0.4210507636306164,0.6302476558096652,0.3259199363733024,0.43352760631063036,0.5593313869499226,0.5644910953678669,0.3793835953136643,0.537156315661214,0.776309806790938,0.3350841222907223
AAL,0.3836127512628842,0.4948445823126009,1.0,0.3815652755474611,0.27998312375482615,0.4300408203315085,0.0818023120088589,0.23425307549085567,0.4253130135193985,0.4199431107801605,0.27395136204270804,0.2888588386980803,0.32523241527484215,-0.0556764263049922,0.16285741433004688,0.3978808442201046,0.2334607530391287,-0.032776914560350714,-0.2011624424419787,0.2568716019944616,0.2364311252849857,-0.011192009097026527,0.6880749717341318,0.2355786004956238,0.30962687531448896,0.059954329853796166,0.35226030141745135,0.2853260297285703,0.3080846212015726,0.3608141320601267,0.4464819643400818,0.23297128277567616,0.5621349315936415,0.44613599404114734,0.2969738100637807,0.5087276194911791,0.08488713856433235,0.2121574056694959,0.1517671649425241,0.09964166166487015,-0.09429957098159276,0.4784085625253361,-0.08384558602214985,0.05727461038613355,0.46896829757774433,0.1049267728060435,0.22307524705962437,0.20970870245992118,0.6904171622535779,0.3904382505283719,0.21810133002184828,0.28523269879642554,0.34359759296146813,0.17952625600991223,-0.03979142801267586,-0.1704911310270648,0.2886992557450443,0.07903353349345914,0.40628891274633155,0.37193942882127295,0.02306941423752985,0.4814560562422855,0.366394562932142,0.07197266907680742,0.38490495049744805,0.24623278693081124,0.39961254924617734,0.37941106456511686,-0.2309270171726645,0.3767655832935186,0.20039612625081343,0.297875795370365,0.3470473100519264,0.1580776216903487,0.1708977779485865,0.4688101339485587,0.26118441920573154,0.07020274554501195,0.18265358979911914,0.38518931193835027,0.3138477117844126,0.2651326154063425,0.3149548613337985,0.4039131491700559,0.33512767050233727,0.13048000908270754,0.2462991242076426,0.06473573864632728,0.3844834330049959,0.41555609940697635,0.2521376678305018,0.45607261153194234,0.12044341845292211,0.29521399423469863,0.39786450629196063,0.3253954170073527,0.22675108651390016,0.1831680023349447,0.431049169180255,0.05185785027338823
AAN,0.5734570724464917,0.6560228220907979,0.3815652755474611,1.0,0.5604829771627098,0.7709556587201041,0.3047633574218324,0.6748770190316191,0.697799935047872,0.582078183944381,0.5353913532595673,0.36279070458016666,0.6508438847839284,0.3560721185525158,0.3595275662393992,0.6080578448453164,0.48935704392016516,0.2459423408429571,0.20561209404498737,0.41058852014099134,0.6010880737262848,0.09938705005338572,0.6609954689631926,0.5741949666845504,0.6050907239768719,0.22721893282399316,0.6037242508531967,0.6738696905615644,0.6462398751639254,0.47084991762182765,0.4732455274045741,0.5644671152609526,0.6136739421721601,0.4596622963641063,0.6883027613483831,0.4159927246928032,0.27285837763832543,0.47299722367561603,0.5314191066274195,0.5286426637448504,0.2624987925911059,0.5839118173298442,0.3090119611488954,0.6339471347824754,0.5896072476425623,0.3179514897808179,0.602722106927856,0.6287002247261297,0.6609373317077352,0.4716900466248665,0.5895135738426006,0.6701147627558626,0.666021427541178,0.6483335229735604,0.3687716481739992,0.08588924829331784,0.6082207130242546,0.5364465883711642,0.4184813565529001,0.5397722578382695,0.44502361143447494,0.3786456402998187,0.6621851810211877,0.671267763221962,0.7026883727782138,0.5653602278788317,0.585460546174664,0.5178459490344304,0.20101896901950914,0.6584482244153385,0.16547892805859002,0.5815930055301621,0.6030909725435398,0.7220541535443868,0.08166734051723544,0.5057232561806749,0.696848711765128,0.38226217353138164,0.27268433280082244,0.7379839802228244,0.5572974460934533,0.6993282537187993,0.7601763090128831,0.5957842583699101,0.5062701550873553,0.5708092361282618,0.5550911539867117,0.45143980431534897,0.7720824955795025,0.5111536614792637,0.6544875854435367,0.7092120952593944,0.28966906163330336,0.3908479205218723,0.5816284543373563,0.7344867642360997,0.32110884459028777,0.4672566357667063,0.7021843708086174,0.489805407281003
ADP,0.6326459469497998,0.5252086270406294,0.27998312375482615,0.5604829771627098,1.0,0.47829198832971864,0.10192181654830784,0.3617364852152785,0.512643599963577,0.24953080523002374,0.21718088315366998,0.14266538933788958,0.5826949297860754,0.22670585324839396,0.4989912445258897,0.5590895179962435,0.395228438791979,0.3607570211535702,-0.09526811463888646,0.3956653600614253,0.3913970432173119,0.2373768946370803,0.31289988697651305,0.29268088878651677,0.6434883899895818,0.17208621862564036,0.6851293864080066,0.37706499299818197,0.4066158687288811,0.3091983986986553,0.5218112910651533,0.7300659143777809,0.6496300586689904,0.29386156040402384,0.5020713226493273,0.31596744351919004,0.39607497310136813,0.569182598663764,0.2570388706209454,0.3427044766594414,0.4399309587514284,0.6995880885897108,0.11769359569154193,0.3474982648403606,0.4702528148099486,0.513541754768871,0.34039601178016127,0.3622300903016554,0.39186461465561373,0.6060611248578548,0.5160330515442144,0.6438389524542011,0.6110319553943262,0.38921659237341466,0.31643444425916384,-0.03196240095379833,0.5003396902520757,0.40589339281941306,0.48287085198546104,0.3145403167409687,0.6014189059925774,0.198151640023808,0.44691777844118197,0.654230803615494,0.6684877558636831,0.3306056031861057,0.4446950437657879,0.7332214581358176,-0.11786311068022207,0.381956457734892,0.2551892568584341,0.7098413347703196,0.6782792275832007,0.3601926694021302,-0.04710627606015672,0.5997804595636526,0.7376663639144186,0.3613222902712036,0.263882351358113,0.5688833695399114,0.5127724578178896,0.2493937276868871,0.5057524024334573,0.526681569666178,0.36442320125695504,0.48747208094035666,0.5588743620700903,0.2027831716275419,0.7475692410357279,0.319991998305146,0.3730057921733449,0.6145134633224225,0.22840002574353624,0.3455362737504556,0.5648452405776668,0.7813791658820951,0.6586808997120689,0.5469298387231464,0.47387275538056195,0.11743797232514082
AAT,0.577351565179927,0.5704203494175595,0.4300408203315085,0.7709556587201041,0.47829198832971864,1.0,0.3551940358355936,0.8284530207140338,0.5434452553827418,0.793586002840755,0.7694515337501644,0.6580702707243763,0.5412661208131362,0.5334821129386093,0.4513696189221177,0.49934060954474074,0.32576470561253207,0.3976028525411972,0.28139209728375175,0.5985802795648062,0.48265446336883533,0.36739398317379357,0.5194451721142254,0.7431318373567828,0.5781804149496398,0.3703877340579125,0.5914416119412887,0.47199015288441526,0.6204563934873305,0.5140272027324657,0.5117739667480222,0.5618819230818315,0.6992732278110525,0.4303001051720448,0.5671564670189234,0.5445772338389785,0.35925863611539216,0.3620577544842438,0.6028984536659623,0.3063923599922664,0.325900442861708,0.6010288443119582,0.438082721710776,0.5631176928603746,0.6067634408347445,0.421973016431072,0.6378220074161923,0.4907194233997961,0.4922079996615035,0.4213821545037552,0.569547274987709,0.6887724876278281,0.6985700050743804,0.7963114399344662,0.5217763702590156,0.13519707568480674,0.6473689400127081,0.5247132975825893,0.590266059023236,0.551562156843109,0.37518869110019376,0.3656608656744158,0.5824237809035868,0.6040786438184721,0.6541978829945018,0.670598703053559,0.48311272597735205,0.4507278525430944,0.33210674198675266,0.5560451604829523,0.13620315258044405,0.5631660588347145,0.5824413053355911,0.8662965465303153,0.2981751169282917,0.366977804689527,0.6632261119826244,0.3168193852219435,0.4464376305707846,0.6136882431221261,0.5884609114921598,0.7831711223467301,0.626390590381723,0.5707816371843085,0.6781995191264654,0.5586847175239865,0.46019642649718734,0.39718256218196746,0.6229379135650976,0.5159234007152743,0.8534329467919356,0.5083033840817601,0.39167879626348584,0.4968703224164768,0.5537873431941531,0.7408561064483606,0.21541069481158542,0.4971310734701339,0.6607785733038674,0.4716672702354374
AGM,0.29197784614430367,0.2587101838475444,0.0818023120088589,0.3047633574218324,0.10192181654830784,0.3551940358355936,1.0,0.29578970308842056,0.2065939029524128,0.10874148354378817,0.49564934548242906,0.549683209098743,0.13097797856974944,0.03773540966781524,-0.00866334389714755,0.34728332378798477,0.6376292155523133,-0.15688645942055823,-0.18689726260584943,0.2977487299522044,0.1946746131100935,-0.06803468984856999,-0.05761796485617011,0.49567725133996066,0.23483737435408078,-0.10382091160560226,0.23391945451966212,0.28410161501496306,0.06555624154263438,-0.01130139590214079,0.3278629240017857,0.009902324084890836,0.3127409497059645,0.0397089404058782,0.3924117525198864,0.5235631460316218,-0.03264311528065264,0.12275136698002058,0.10610338844998296,0.07364161433753229,-0.19282809206068785,0.2593796320309811,-0.04886332540116015,0.4441513696536225,0.33113419170761194,0.02161708552323759,0.37603214947568786,0.2021694369995992,0.23839116427986082,0.2652936284777176,0.18518178189181714,0.11390665707365816,0.4285690562830514,0.5622150203879488,0.48268519403365284,-0.22667681043607912,0.261003955228973,0.1915617354397071,0.2844006560361085,0.48130653538992774,0.05905078198706862,0.07755711200215056,0.17196737139916227,0.12485607119914853,0.2394595257589331,0.2200768825706211,0.21050621326967503,0.4674531035114341,-0.1489989770996382,-0.0271578957842483,-0.29892217923199754,0.10336869908945315,0.1923989594633529,0.26634750211046293,0.2003655347281357,-0.008856437320704336,0.37322522583057416,0.00549252127164803,-0.08727124482390688,0.3965529583751634,0.25870071007624856,0.32991450177768455,0.3108688901332672,0.10916155801704511,0.332323891706761,0.2352618421556926,0.02405009562390701,-0.1046641792560952,0.463981363350217,0.3680023067405129,0.27536487455467057,0.10973642187097202,0.4172393390074086,0.15280356324102895,0.12024757534318009,0.23325511894033046,-0.054175025440530995,0.05023963990955307,0.3208094629642303,-0.005992894720551178
AHH,0.48685859785999125,0.568282462043324,0.23425307549085567,0.6748770190316191,0.3617364852152785,0.8284530207140338,0.29578970308842056,1.0,0.511279059761459,0.7242810395815468,0.6728697344566763,0.6202009589896857,0.5205393482364495,0.3961715627964968,0.316146107037645,0.4278655741931416,0.2896836050280864,0.23197679538930452,0.11887971029844963,0.5252781517154043,0.4427863046947544,0.2800650659903113,0.4201167826990883,0.7233140199005502,0.47367659797026807,0.25096890320721404,0.48748724962493034,0.42044349206406634,0.5530987620265688,0.34934111622537284,0.45624916464479226,0.28924572359176776,0.500007297907753,0.2832765202393771,0.40906197209809314,0.4385989441257489,0.22241600262181568,0.24114610257845048,0.4353375291112099,0.3445962893820813,0.2242740550685112,0.5129865511157603,0.21371227279552524,0.5400918089989437,0.5280922517937796,0.31363259184525416,0.6887264226549685,0.4896520584819336,0.501518515313724,0.29808268449907394,0.43766433687287565,0.5826703258544971,0.5518543286664666,0.7552070204168813,0.505192452194288,0.04831060550690796,0.5275568903511265,0.5029381504064298,0.5056521929727987,0.4614012574753776,0.3024281281830027,0.4095136143400203,0.4739736142725169,0.4899093727968092,0.5339468371288011,0.46692025695979983,0.46115273978016413,0.41401730794554215,0.21697014403357268,0.4531411740791459,-0.02273301852214261,0.45395767649014784,0.4834887350622644,0.8227688071533775,0.20052816478150792,0.25793573679571746,0.6042563987321887,0.26540076976543225,0.3090838991342954,0.5952603686347984,0.5489172308079352,0.8251784015854138,0.6133828913625402,0.38584743289951823,0.523559381176985,0.4930986749937893,0.4316055064524048,0.2816540581095922,0.5837638421355867,0.38798688840692086,0.7834873909909663,0.533637620598008,0.4126752345474167,0.288836641262775,0.5309992912702816,0.5472208850948598,0.13888675630110148,0.2953298890621396,0.6828386932471161,0.4884794254410335
ACCO,0.6972799455165521,0.7011556147757145,0.4253130135193985,0.697799935047872,0.512643599963577,0.5434452553827418,0.2065939029524128,0.511279059761459,1.0,0.40568524422045144,0.4999541179685374,0.3052405168115588,0.5895327840575514,0.4508199069206406,0.5668211499553266,0.6562878824324531,0.6377623704803722,0.38349814976261654,0.2683304940786454,0.4873452690757345,0.4938584529619722,0.1729249553920523,0.5250930529429763,0.45477966803824976,0.6799405268754145,0.4419431620710012,0.5752374341162315,0.5537422761855669,0.5685494703009017,0.29950458508423317,0.5891488063619705,0.5516087014661899,0.591203588343028,0.3751152637403507,0.4586405577131946,0.48039680006958574,0.3907980735385766,0.3387190156382316,0.383742958307153,0.42435952133605864,0.30065227052472965,0.6768878168956849,0.2404293490797596,0.47761795518549743,0.5508037975296116,0.40585157126306604,0.4920003239169786,0.6373122720192573,0.5984822125639885,0.6109362193747313,0.584201603455673,0.6155609008529292,0.5659499284766785,0.4222630909362242,0.29688549776240647,0.08310179975156023,0.60963006040887,0.5029563405959047,0.5879635355322391,0.45411621379150746,0.3698959417173295,0.3596519568658305,0.5777523648116414,0.506077241290321,0.6248479309179211,0.7078503562282384,0.7777724422074251,0.5623946801682159,0.2291041207212753,0.49969475529371227,0.24175858158756636,0.6213618546537412,0.6325205606207747,0.539179154630061,0.20789713129531703,0.5570760422368248,0.6649559635422957,0.5115586257544587,0.40250389445295276,0.5827826466637849,0.5625415952652463,0.48133488486624115,0.6314423992467321,0.4389410817566109,0.6189361586031313,0.5991730014152559,0.6080834810936803,0.32086739405884823,0.7318319822843629,0.41005621616891147,0.41667086653337054,0.6481997041555205,0.4941412884289725,0.5125911128467543,0.32407574119937527,0.5435126769622871,0.5484953053926874,0.6644364817516069,0.6690665888245668,0.31470843353125305
AIV,0.42631211007848707,0.39589491689526224,0.4199431107801605,0.582078183944381,0.24953080523002374,0.793586002840755,0.10874148354378817,0.7242810395815468,0.40568524422045144,1.0,0.6917407439928356,0.5811174478168568,0.369974766017,0.40536029376672467,0.327750079057716,0.2327546813237619,0.14962810668952006,0.14861115554641743,0.19906562416586057,0.41746705763222164,0.17709670153720922,0.19426303742862233,0.40681359194583344,0.5981150834590949,0.4376621549784378,0.16249788493108944,0.4384981551638095,0.26141371234598415,0.3631700113377297,0.3357589184662437,0.263902338447416,0.4014871836455598,0.5162328529679229,0.3179278512316799,0.383356439799645,0.3761791491498049,0.26658503444735326,0.24241183957094842,0.3477479573455332,0.1369908666555466,0.11705685272232876,0.5094797752643914,0.26610481007881576,0.349462972769021,0.5341649616384299,0.3066399168547209,0.3694586914296902,0.405841514359061,0.44760053373469233,0.333720950498836,0.2709369937144239,0.4425735017928439,0.4818388207929288,0.6848130760854475,0.3832316046410145,-0.025705237274937485,0.491362338583795,0.3837824162269374,0.4536044135074739,0.3346866054567093,0.16281775703938303,0.2835018015221197,0.4668183863339463,0.3585862667722488,0.4569139601438776,0.41959289856255966,0.34191007971061604,0.26088743616717597,0.017808616479494607,0.397733649445177,0.07117383440068287,0.2902915258947288,0.3538918724930236,0.7395524058401716,0.1207239897230403,0.282121535839961,0.2845207130293019,0.16539683761244303,0.25653165975076114,0.48470260134319526,0.37749823304809765,0.6995789039618401,0.412995760402834,0.4857100407779767,0.5377948744897626,0.37731641174285174,0.3589367207193649,0.19703257772016997,0.35859208141613025,0.42020681798110987,0.7923779883365653,0.3757322270221136,0.2259059544718384,0.2783283011074815,0.44765476392086284,0.4544907789056789,0.0624926728896546,0.22831620665513405,0.4137410005118681,0.34277124296313455
