,A,AA,AAL,AAN,ADP,AAT,AGM,AHH,ACCO,AIV,ACRE,AGNC,AGYS,ACRV,ABBV,AAPL,AGCO,ADCT,ACHV,ACGL,AGS,ADVM,AEO,AFCG,ACCD,ACAD,AKAM,ACI,AAOI,AEVA,AJG,ADBE,AIG,AEP,AFRM,AFG,ABSI,AI,AESI,AIOT,ADPT,ABM,AKBA,ACDC,AGR,ADMA,AGX,ACEL,AIR,ACIW,AEHR,ADEA,AGL,ABR,ACT,ACLX,AIZ,ACHC,ACM,ABCB,ADUS,ACHR,AES,AHCO,AEYE,ACTG,AIN,ADM,ABUS,AAON,AEIS,ADI,ADSK,AKR,AGO,ADNT,ADTN,ACLS,ABOS,ACVA,AIP,ADC,ABG,ABNB,ACIC,ACMR,AIT,AIRS,ADV,AEE,AHR,AAP,ACNB,AFL,AISP,ADT,ACN,ABT,ACA,AILE
A,1.0,0.717594512324286,0.6152379846575992,0.6721271387404315,0.6935158257296178,0.6735439256506659,0.5916090025645163,0.6444916573970094,0.7200636255664981,0.627096086257277,0.5815306082257252,0.5957158483250518,0.7467802385580261,0.679097383899376,0.7074407766535882,0.7257738120658405,0.6975003898528372,0.6625548976588856,0.589041971611182,0.6218931114127995,0.6768468289963904,0.6298278401794268,0.5964485147640097,0.6251002710981152,0.7093491954254245,0.6175106069462117,0.7234992000028776,0.6541202732493049,0.718302002584715,0.6494645949781657,0.6635058935814022,0.7121551415303558,0.6941589815978424,0.6032299677266644,0.6475110100021714,0.6210237401281973,0.6606644407551944,0.6502092754059585,0.6133202997218014,0.6149046665123943,0.6720642065225163,0.674768665632642,0.6299489806650357,0.6491837306814597,0.7008369511171783,0.6271281009215657,0.6896450227623169,0.6483314497820254,0.660291399485482,0.6578793973032869,0.74657851328448,0.7355638873827295,0.7440824826809873,0.6396879821008256,0.598744622073873,0.6003862319642305,0.6495153639921806,0.6296561360692713,0.6699881700282295,0.6108717041788823,0.6080137494879919,0.6064439153634066,0.6792680730109532,0.6845359212243537,0.7101550354165989,0.6476073002043018,0.691139389595152,0.7128399857043713,0.6069969648439587,0.6282014674900961,0.6116696685299834,0.7744775043803236,0.7012572500095342,0.6374076662274706,0.563055297763999,0.6572253105703583,0.7364876508369811,0.7371226866944797,0.618743530435547,0.6948057034228582,0.7205520723128312,0.6057948418302579,0.693513455813085,0.652643336991028,0.617579275950492,0.7355551450601777,0.6933863869064419,0.5938973994309334,0.7572935982977885,0.6350041034208949,0.6426206864089847,0.6800758443576087,0.5871197341629608,0.647631939020602,0.6658976216732572,0.7094604742877528,0.6539760696829489,0.7723477810635189,0.6957920472803285,0.6164194835493916
AA,0.717594512324286,1.0,0.6468786033335989,0.7026168847499978,0.656340872515238,0.6711748243654778,0.5833613484229081,0.6703800576978306,0.721799322244018,0.6187078093213032,0.5982206492154883,0.561419912879389,0.6486300658084603,0.5839202077404618,0.6128606502968227,0.6933651340824538,0.6710774526546616,0.5718190378437559,0.5385753448471696,0.6464155130149951,0.6312754765975673,0.5463092424707416,0.6155556229081477,0.6547819474093257,0.6583238412522563,0.55346755924458,0.6851874585193166,0.6591271620384969,0.6981288864126814,0.6366457333801826,0.6478070029561932,0.6516708971403053,0.700899589135536,0.6729126201505361,0.6246767071992323,0.6265033880345006,0.577171270387031,0.6369106319483903,0.6804369906607415,0.6199229502725793,0.5417402201463053,0.6772829735967932,0.5586749463327428,0.7014844287581592,0.6987454351886591,0.5905953528868303,0.7105592995339685,0.6080560094968716,0.7074571541880668,0.6327539196243523,0.6919812199293954,0.7079482366879408,0.6967015396781728,0.6280762183196616,0.6157298435970735,0.5310076265645209,0.6557236134099661,0.6189796331689734,0.6864685907675036,0.6237930226445245,0.587986461415245,0.6319790743014483,0.7489027066255414,0.657359317747286,0.6795113566753893,0.6597541556818475,0.7631067956497597,0.7073246568196575,0.5750971412848369,0.6789195557823345,0.5974340867267216,0.7045060313468261,0.6851481141267209,0.6436281360221288,0.5694862247839676,0.6892829202622083,0.7224649690775498,0.6498925660585182,0.5806440692446385,0.687811723744632,0.6912641872018745,0.6072108439942254,0.7114563149579326,0.6307725113426922,0.6413978776446112,0.673036138440265,0.7029840204926241,0.6149096868889418,0.724658811492904,0.6820405402571791,0.6255963034815684,0.6926335828535072,0.6001325902630309,0.6293453050618568,0.6674654220603683,0.6690701014947342,0.6140863225545304,0.660138276096228,0.7602137136415306,0.6029156348078891
AAL,0.6152379846575992,0.6468786033335989,1.0,0.6146556126944454,0.5884998418527161,0.627967695848836,0.54140097197832,0.5772777288680072,0.6266265738851733,0.625177483456614,0.5871194180977118,0.5907067978717,0.5999227319294933,0.5098501068112365,0.5602534259348942,0.6190617092535059,0.5771110548798686,0.5151289802391472,0.476030723530573,0.582924641891461,0.5778081958899309,0.5200510277278637,0.7159798500193625,0.577612368407454,0.5959410692020777,0.5363620744436965,0.6069024103309788,0.5899363161141571,0.595542915495064,0.6091427320799107,0.6326442356000405,0.5770020688371128,0.6684204481742043,0.6325124358897779,0.5927585411787915,0.6511540833519389,0.542155644545748,0.5719667049521856,0.5576848698262473,0.5455293401264183,0.5009946130651658,0.6419304004324285,0.5033766210360301,0.5357714583577515,0.639237319087993,0.5467550847318234,0.5745764294090637,0.5713696997943103,0.7170033106686696,0.6170938146066369,0.5735666137002382,0.5898486483513731,0.6046411577827678,0.564400920529933,0.513843035324322,0.4832494944403839,0.5906753758673304,0.5407591245773349,0.6213758750790843,0.6120917135485149,0.5278999670335622,0.6429006545640389,0.6106356115247137,0.5391268097539408,0.6155522734640545,0.5801995921058797,0.6195359497823988,0.6140784983767692,0.468794483270449,0.6134026554187914,0.5691539386412765,0.5932145701872389,0.6055735185201574,0.5593125914685932,0.5623125791035188,0.6391216847182799,0.5839352434470626,0.5387992445906913,0.5650068104068992,0.6156367651237588,0.5970256474097821,0.5850224898919217,0.5972997067842625,0.6207572034105515,0.6026489915184741,0.5526980354511281,0.5802055148266635,0.537473364884802,0.6154838767332156,0.6239149717178247,0.5816595009439014,0.6353882046517727,0.550333201846317,0.5924695296726702,0.6190805226478266,0.59995769767428,0.575515970712219,0.5650435103648701,0.6283436488779378,0.5346896470028185
AAN,0.6721271387404315,0.7026168847499978,0.6146556126944454,1.0,0.6676983932470604,0.7568348624258107,0.5946933605954485,0.7103200661993997,0.7202521385402425,0.6750769497180176,0.6595965892765259,0.6096520719002111,0.7005123441026492,0.6078843915177352,0.6088069360644358,0.6842584196567466,0.6451965211858675,0.5801441309951728,0.5705357249450971,0.6226427487230293,0.6817437792977926,0.5454369374763807,0.7045803116778683,0.672337648248341,0.6831856149309757,0.5755627589376112,0.6826872296325761,0.7100183623075459,0.6986840899678031,0.6396722845688879,0.6403930719595795,0.6690621024853008,0.6864383932824288,0.6364017797640827,0.7160812957159872,0.6240524918609314,0.586756070518119,0.6403114029335648,0.6582516196859239,0.6573445885220804,0.5841973282255438,0.6757048494856303,0.5957799673595198,0.6939404507922037,0.6777565985551244,0.5980695984444425,0.6823252487706803,0.69191382617386,0.704577177914072,0.63995107844354,0.6778738866070565,0.7083769273113678,0.7066362379957761,0.699765177916658,0.6116194637899857,0.5423756690951421,0.6843190162176718,0.6598328572968033,0.6247451703402945,0.6608954204717067,0.6321841485042726,0.6139086887048406,0.70509496034937,0.7088096080205393,0.7224454465150248,0.6693382614061799,0.6762153105146649,0.6539256895712424,0.5693291349954064,0.7035729575228082,0.5608818974064054,0.6751846433330978,0.6824867418684305,0.7316991546620593,0.5414637685263332,0.6501845696005678,0.7199391595601635,0.614940255331708,0.5867365368866035,0.7392809622008646,0.6666529127408148,0.7211682095599993,0.7508774922094469,0.6798860533739971,0.6505106765771503,0.6712168808565288,0.6659039555853142,0.634032590441538,0.757519231060785,0.6518480117058074,0.7019799218139012,0.7254381565777225,0.5909003622824021,0.617285350008409,0.6748999841756965,0.7375335035244169,0.5989165778581825,0.6386140886601535,0.7223261202030863,0.6455238240482173
ADP,0.6935158257296178,0.656340872515238,0.5884998418527161,0.6676983932470604,1.0,0.641816578382781,0.5459573279164214,0.6093593095522251,0.6523037394596659,0.5809068162878284,0.5730771573278551,0.5554691034180573,0.6752035808159429,0.5754002545035285,0.6481207779249778,0.6672356069122701,0.6182651748174898,0.6091852731731057,0.5009821768184113,0.6184058767790029,0.6172971110152772,0.577985807384273,0.596708575244466,0.5915901666252906,0.6975572202128485,0.5623687566151926,0.7146559914848836,0.6133856705296756,0.6214459827487252,0.595801382985563,0.6551094163304118,0.7352944465522279,0.7000098429431437,0.5919355705327118,0.6489837738096066,0.5974571332351024,0.6184939332735904,0.6705717373657862,0.582743906019629,0.6043324375041428,0.6306720609743897,0.7211130747062068,0.5497066368267963,0.6055759834805411,0.6394439408347736,0.6526463959176733,0.6037785447047541,0.6094574832805589,0.6174686736080991,0.6834796454163213,0.6537376593298443,0.6976901635669364,0.6853301968046306,0.6167114217778955,0.597759383643235,0.5151816329086136,0.648462046150104,0.6212592347663818,0.6432998798840934,0.5971193165583413,0.6818214973745236,0.5685108561354634,0.6327966898928893,0.7018437028271338,0.707631577157132,0.6012170129509548,0.6320532251853557,0.7368919505817967,0.49557933639573215,0.6146837420332771,0.5824187212526167,0.7262047143641752,0.7117110092832277,0.6089551200908375,0.5117220844932124,0.681217876137456,0.739317224418874,0.6094589351135131,0.5844302258210107,0.6705602897406955,0.6522833398975862,0.5809162477237444,0.6502293947591299,0.6566471524846637,0.6100633954282287,0.6447000208985463,0.6671417308536831,0.569629014167716,0.7442958859236879,0.5985725917413393,0.6122923457860956,0.6865677672976391,0.5758363130984447,0.605100029290914,0.6691056971102954,0.7628689464636342,0.7037826860943918,0.663187203581382,0.6405119994521785,0.5495765901804021
AAT,0.6735439256506659,0.6711748243654778,0.627967695848836,0.7568348624258107,0.641816578382781,1.0,0.6075767860573723,0.7935802295253565,0.662095976040151,0.7701301511501577,0.7559384202308407,0.7033723209714193,0.6613067888803603,0.65883129953818,0.6340370755303013,0.6482142076171996,0.5999366849279559,0.6190643568396377,0.5891577618558802,0.6807756187089761,0.6431830070528424,0.6108266900491094,0.6543798032086396,0.7418243187136446,0.6736352230730512,0.6116182326084229,0.6782678025230786,0.6399119019685762,0.6888362863890924,0.652726680055376,0.6519480654306649,0.6680812645311878,0.7208596818530724,0.628005500649841,0.6698659214846973,0.6623653928817029,0.6086142970626989,0.609378401661513,0.6823068626232834,0.5950081333594628,0.5999548610929435,0.6818032342455554,0.6302486476240143,0.66849645286572,0.683706692688575,0.625771078400014,0.6953841613595438,0.6455345238971077,0.6461085352433021,0.6254203826885141,0.6711984211295916,0.7161961132477195,0.7205923268523625,0.7719358798007036,0.6552337292338363,0.553622050973178,0.699070069972842,0.6561149458627097,0.6779867274791929,0.6646895164891409,0.6128871949744147,0.6103028686617533,0.6752546600871981,0.6828120696412816,0.7018124961831899,0.7084750204132161,0.643261707709056,0.6338215501143125,0.6017839220588044,0.6661406805381772,0.5540574339108234,0.6691504345652931,0.6750860479594472,0.8245319282426034,0.592929112603853,0.6106628024062353,0.7057451071726331,0.5979805641250584,0.6324890005137616,0.6863681476454894,0.6771896635011931,0.7639053269565802,0.6911209543423156,0.6710806207708878,0.7117028092276699,0.6672126970216133,0.6365333864928598,0.6187795012787426,0.6899072388872188,0.65335172667783,0.8131089314383421,0.6508855908697125,0.6173573243577861,0.64738006360836,0.6653987307233832,0.7407816576918561,0.572893321493272,0.6474908175931811,0.7044225015577871,0.6398557191772822
AGM,0.5916090025645163,0.5833613484229081,0.54140097197832,0.5946933605954485,0.5459573279164214,0.6075767860573723,1.0,0.5924140951991148,0.570612954011653,0.5474826225288908,0.6469874061822128,0.6640963995096388,0.5526782276725334,0.531191792631885,0.5206453896816151,0.6055959920466889,0.6952498950204757,0.48645700963092064,0.4796060950405289,0.592803992703052,0.5677728063378643,0.5069401999450023,0.5093280157573917,0.6470169489778432,0.5773309465432312,0.4986788033396445,0.5771282851188392,0.5893852137695318,0.5376487331940021,0.5199986738173948,0.6004722409824846,0.5247452250415965,0.5965913578409053,0.5316847796261401,0.6174815532603135,0.6556259780759274,0.5149776199343723,0.550762426363813,0.546867225130081,0.539389528840731,0.4777228796125734,0.5834777461260109,0.5114346939210368,0.631841229376672,0.6012911152414754,0.5276386623440142,0.6131422578351758,0.5694829537804513,0.5783383506976741,0.58473556600831,0.5659489605958213,0.5486777648603325,0.6275187539271907,0.6682418722149401,0.6432309837748172,0.4695923999173511,0.5837203036956778,0.56705148846314,0.5896707687519929,0.6427128587801271,0.5360773770822883,0.5402632346192409,0.5624734269355306,0.5513337817049885,0.5784918994887465,0.5737628862270293,0.5714903184518422,0.6386764729939759,0.48834303395100415,0.5162624637339215,0.4520486045343891,0.5468953401616314,0.5671118809380157,0.5850008960224168,0.5689955208043558,0.5204510913260089,0.6126709779743108,0.5240932506170625,0.5024030709220733,0.6187437347674238,0.5831310394989314,0.600997921583406,0.5963148487040683,0.5475787163331466,0.6016144431945216,0.5776247466741519,0.5280782704792519,0.4984357275823585,0.6378241766976369,0.6110593265591289,0.5872355745155159,0.5477442771514144,0.624358109416249,0.5577395391172505,0.5501741481893475,0.5770808808972474,0.5103546823551746,0.5340618679899548,0.5986441796754172,0.5210788550711974
AHH,0.6444916573970094,0.6703800576978306,0.5772777288680072,0.7103200661993997,0.6093593095522251,0.7935802295253565,0.5924140951991148,1.0,0.6518786386173492,0.73254330144966,0.7095695260083124,0.6887107184649605,0.6547564291582443,0.6185720793041447,0.5975886557035079,0.6273321728217276,0.590887964151538,0.5767583734607428,0.5501473406356716,0.6563439671950558,0.6315505004747287,0.5884902431308134,0.6251525957387529,0.7320541321137147,0.6404894999384213,0.5813196723281955,0.6446029250651218,0.6253067827080518,0.6652507749244464,0.6061223696929567,0.635403319569709,0.5907827803146813,0.648481321017825,0.5892993619001935,0.6220963078250874,0.6303591520494762,0.5744083390788239,0.5789215983516727,0.6294378759324356,0.604877313843352,0.5748546409042277,0.6524430951048334,0.5723302346532567,0.6609985075658587,0.6571989572047104,0.596977280333384,0.7162406463886177,0.6452537450361572,0.6488993629838234,0.5930024856551303,0.6303657390005795,0.6752583193916756,0.664831323815992,0.7484206097420121,0.6503510220908979,0.5336851755445288,0.6569696183037016,0.6493163194549071,0.6501773280307943,0.6368911580723445,0.5940850830091037,0.6222479085965318,0.6406329565421007,0.6453416297812994,0.6590095251987907,0.6385027584631493,0.6368197433259715,0.6234753072927179,0.5731590818409431,0.6345066357831233,0.5174297599699557,0.6350988412012898,0.6434153795591457,0.789718239190319,0.5692381323684523,0.5830280675888863,0.6830161423372699,0.5850060302182946,0.5958089614803969,0.6796807490508502,0.6638649996737492,0.791434334486167,0.6862328934300076,0.6157936103519492,0.655851094693671,0.6463615493282442,0.6283722621066442,0.5888824728167755,0.6757059754770951,0.6163816813448614,0.7640834308260444,0.6589099983297599,0.6231004006506755,0.5907692223448837,0.658069901206962,0.6633382563061481,0.5547104846295302,0.592301329183707,0.7137700281769868,0.6450695371629263
ACCO,0.7200636255664981,0.721799322244018,0.6266265738851733,0.7202521385402425,0.6523037394596659,0.662095976040151,0.570612954011653,0.6518786386173492,1.0,0.6212144076845673,0.6485088039041964,0.594811543679359,0.6776547335750172,0.6338466470445111,0.6698354428698903,0.7026790453399587,0.6954040997942952,0.6151967767629598,0.5857563338414232,0.6447045396067953,0.6465449858075797,0.5626080674821392,0.6562040556113421,0.6349961674805741,0.7124742613482061,0.6313076331226349,0.672687622334227,0.6655707662472757,0.670415290881511,0.5933689734431801,0.6775306461826827,0.6647893239265836,0.678363047638993,0.6129239146984595,0.6361172403199452,0.6425350019155341,0.6171819760869108,0.6033751046930477,0.6152657381317814,0.6263669041154002,0.5936976942712648,0.7111936054817593,0.578782071687584,0.6416983326404331,0.6645836321289036,0.621260148150239,0.6459775160993835,0.6952078691150563,0.6808285871778957,0.6853506767004057,0.67601181411756,0.6870501686621355,0.6695329257789628,0.6259864031112584,0.5930845426508612,0.5417398027883981,0.6848350459669005,0.6493219069855445,0.6771185673761339,0.63479754303604,0.6115339038663343,0.6088769287255922,0.6735788970416353,0.6502723498242706,0.6904588250240893,0.724811237239833,0.7607236195198104,0.6683401940786006,0.5760718304222578,0.6483365509361149,0.579116718474081,0.6894596534171373,0.693397978223506,0.6609153199681741,0.5710612812906519,0.6665935726671696,0.7063082981135367,0.6520676997510841,0.6203913429133752,0.6753010302399779,0.6684067451839223,0.6429742251949798,0.692977608098217,0.6304893464360516,0.6884620377497461,0.6810933716071393,0.6842649759772405,0.5987879747496938,0.7362637120141465,0.6223944395967956,0.6242314076563357,0.6994661356685473,0.6466265709730689,0.6524526913155235,0.5996102479064228,0.6621254082605057,0.6638032467181377,0.7059871502390462,0.7080039299799048,0.5973990010201605
AIV,0.627096086257277,0.6187078093213032,0.625177483456614,0.6750769497180176,0.5809068162878284,0.7701301511501577,0.5474826225288908,0.73254330144966,0.6212144076845673,1.0,0.7174282859493087,0.6746940576869684,0.6114447496908697,0.6210459169858985,0.6006040445057091,0.5769270403737597,0.5569808635727821,0.5570267841633635,0.5692452495049767,0.6242340299739164,0.5636221836802984,0.5676117443632689,0.6214391295305779,0.6805918205391751,0.6300066495420518,0.5600916766631866,0.6302732836088176,0.5836807881672168,0.6097952175682697,0.6026088238605258,0.5843672871752706,0.6198904516366731,0.653240650369354,0.5980323469592351,0.615011407370749,0.613048358614994,0.5849812985152046,0.579128695063229,0.6055478006717835,0.5540293366273693,0.549334962985382,0.6514593315379384,0.5851181002294126,0.6060129121427172,0.6589233267063205,0.595302377163246,0.611402627357436,0.62115484250803,0.6330396650387761,0.6019151684825478,0.5868194104623978,0.6313356169256954,0.6429359168481209,0.7144335585181233,0.6149339069338078,0.516466805870544,0.645707199006195,0.6153028362987807,0.6347901700931465,0.6022537384420823,0.5601531070118214,0.5891744374765486,0.6386373667853897,0.6085533748352158,0.6355776464350703,0.6249315579871022,0.6041376848572686,0.5837814599071253,0.5268589174430167,0.6188798964723752,0.5390363689763816,0.5917507355697332,0.6071729078274974,0.7399506382990908,0.5501306640879022,0.5888667258840714,0.5899576066420665,0.5611559603541033,0.5824893710250395,0.6438796151640324,0.6134329758061803,0.720922137625118,0.6233242522269788,0.6439405020788557,0.6600835296324001,0.6136824212933399,0.6086217118744435,0.5681998565923195,0.6087851394861571,0.6252531006792269,0.769359769570673,0.6129820954718379,0.5752451277380076,0.587847091323279,0.632824855057351,0.6350054046886972,0.5371760439023411,0.5757734293960343,0.6232130429481126,0.6042012951216978
